name,category,asr_model,genai_model,sum_num_words,bertscore,rouge,compression_rate,density,coverage,summac
kpni-arts,interviews,Whisper-large-v3-fast,transcript_gpt-5.5_medium,37,"[0.10903, 0.07841, 0.09122]",0.0021253985122210413,0.003980504722744052,0.40540540540540543,0.0,0.17300547286868095
ouderen-zorg-2,interviews,Cohere Labs Transcribe,transcript_gpt-5.5_medium,37,"[0.16097, 0.11367, 0.13325]",0.002129925452609159,0.005377107364685004,0.43243243243243246,0.0,0.14560224674642086
ouderen-zorg-2,interviews,NVIDIA Canary 1B v2,transcript_gpt-5.5_medium,37,"[0.16097, 0.11367, 0.13325]",0.002129925452609159,0.005377107364685004,0.43243243243243246,0.0,0.14560224674642086
verpleegkundige gevangenis,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_gpt-5.5_medium,37,"[0.19589, 0.15598, 0.17367]",0.0027247956403269754,0.005615790936891855,0.3783783783783784,0.0,0.14685537107288837
verpleegkundige gevangenis,interviews,NVIDIA Canary 1B v2,transcript_gpt-5.5_medium,37,"[0.19589, 0.15598, 0.17367]",0.0027247956403269754,0.005615790936891855,0.3783783783783784,0.0,0.14685537107288837
kpni-arts,interviews,gt,transcript_gpt-5.5_medium,942,"[1.0, 1.0, 1.0]",1.0,0.08918695235217614,1.0828025477707006,0.0,0.6164769499466337
verpleegkundige gevangenis,interviews,Qwen3 ASR 1.7B,transcript_gpt-5.5_medium,37,"[0.19589, 0.15598, 0.17367]",0.0027247956403269754,0.005615790936891855,0.3783783783783784,0.0,0.14685537107288837
kpni-arts,interviews,Qwen3 ASR 1.7B,transcript_gpt-5.5_medium,37,"[0.10903, 0.07841, 0.09122]",0.0021253985122210413,0.003980504722744052,0.40540540540540543,0.0,0.17300547286868095
kpni-arts,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_gpt-5.5_medium,37,"[0.10903, 0.07841, 0.09122]",0.0021253985122210413,0.003980504722744052,0.40540540540540543,0.0,0.17300547286868095
ouderen-zorg-2,interviews,gt,transcript_gpt-5.5_medium,940,"[1.0, 1.0, 1.0]",1.0,0.11785270629991126,1.1202127659574468,0.0,0.3673031303237696
ouderen-zorg-2,interviews,Whisper-large-v3-fast,transcript_gpt-5.5_medium,37,"[0.16097, 0.11367, 0.13325]",0.002129925452609159,0.005377107364685004,0.43243243243243246,0.0,0.14560224674642086
verpleegkundige gevangenis,interviews,Whisper-large-v3-fast,transcript_gpt-5.5_medium,37,"[0.19589, 0.15598, 0.17367]",0.0027247956403269754,0.005615790936891855,0.3783783783783784,0.0,0.14685537107288837
ouderen-zorg-2,interviews,Qwen3 ASR 1.7B,transcript_gpt-5.5_medium,37,"[0.16097, 0.11367, 0.13325]",0.002129925452609159,0.005377107364685004,0.43243243243243246,0.0,0.14560224674642086
ouderen-zorg-2,interviews,NVIDIA Parakeet TDT 0.6B v3,transcript_gpt-5.5_medium,37,"[0.16097, 0.11367, 0.13325]",0.002129925452609159,0.005377107364685004,0.43243243243243246,0.0,0.14560224674642086
kpni-arts,interviews,Cohere Labs Transcribe,transcript_gpt-5.5_medium,37,"[0.10903, 0.07841, 0.09122]",0.0021253985122210413,0.003980504722744052,0.40540540540540543,0.0,0.17300547286868095
kpni-arts,interviews,NVIDIA Canary 1B v2,transcript_gpt-5.5_medium,37,"[0.10903, 0.07841, 0.09122]",0.0021253985122210413,0.003980504722744052,0.40540540540540543,0.0,0.17300547286868095
verpleegkundige gevangenis,interviews,Cohere Labs Transcribe,transcript_gpt-5.5_medium,37,"[0.19589, 0.15598, 0.17367]",0.0027247956403269754,0.005615790936891855,0.3783783783783784,0.0,0.14685537107288837
verpleegkundige gevangenis,interviews,gt,transcript_gpt-5.5_medium,735,"[1.0, 1.0, 1.0]",1.0,0.0962283384301733,1.2040816326530612,0.0,0.37379295356115516
